subclone	parent	color	branchLength	patient
1	-1	#cccccc	2758	EOC3
2	3	#a6cee3	48	EOC3
3	8	#b2df8a	358	EOC3
4	3	#cab2d6	203	EOC3
5	3	#ff99ff	70	EOC3
6	1	#fdbf6f	187	EOC3
7	6	#fb9a99	695	EOC3
8	1	#bbbb77	128	EOC3
9	3	#cf8d30	217	EOC3
10	8	#41ae76	97	EOC3
1	-1	#cccccc	1830	EOC25
2	1	#a6cee3	1118	EOC25
3	4	#b2df8a	60	EOC25
4	1	#cab2d6	989	EOC25
1	-1	#cccccc	97	EOC26
3	10	#b2df8a	1079	EOC26
4	13	#cab2d6	423	EOC26
7	13	#fb9a99	815	EOC26
9	13	#cf8d30	119	EOC26
10	1	#41ae76	70	EOC26
11	4	#ff7f00	284	EOC26
12	9	#3de4c5	803	EOC26
13	10	#ff1aff	1277	EOC26
1	-1	#cccccc	3608	EOC41
3	1	#b2df8a	144	EOC41
1	-1	#cccccc	1745	EOC44
2	1	#a6cee3	161	EOC44
3	6	#b2df8a	932	EOC44
5	9	#ff99ff	994	EOC44
6	1	#fdbf6f	1832	EOC44
9	1	#cf8d30	1248	EOC44
10	9	#41ae76	1433	EOC44
1	-1	#cccccc	8546	EOC49
2	1	#a6cee3	2179	EOC49
1	-1	#cccccc	4313	EOC50
2	1	#a6cee3	201	EOC50
3	1	#b2df8a	683	EOC50
4	1	#cab2d6	168	EOC50
1	-1	#cccccc	1611	EOC63
2	4	#a6cee3	3604	EOC63
3	1	#b2df8a	8141	EOC63
4	1	#cab2d6	14089	EOC63
5	4	#ff99ff	128	EOC63
1	-1	#cccccc	2742	EOC69
2	12	#a6cee3	478	EOC69
5	9	#ff99ff	68	EOC69
6	5	#fdbf6f	244	EOC69
8	1	#bbbb77	2433	EOC69
9	8	#cf8d30	313	EOC69
11	8	#ff7f00	868	EOC69
12	1	#3de4c5	4762	EOC69
13	9	#ff1aff	1017	EOC69
1	-1	#cccccc	5827	EOC77
2	1	#a6cee3	6479	EOC77
6	12	#fdbf6f	3703	EOC77
8	2	#bbbb77	1160	EOC77
9	2	#cf8d30	1671	EOC77
12	1	#3de4c5	9087	EOC77
13	8	#ff1aff	301	EOC77
14	8	#9933ff	1322	EOC77
16	12	#8c510a	1871	EOC77
17	6	#666633	292	EOC77
1	-1	#cccccc	1654	EOC87
3	1	#b2df8a	67	EOC87
4	1	#cab2d6	189	EOC87
5	1	#ff99ff	123	EOC87
6	1	#fdbf6f	221	EOC87
7	1	#fb9a99	59	EOC87
8	1	#bbbb77	469	EOC87
1	-1	#cccccc	3348	EOC103
2	1	#a6cee3	4538	EOC103
3	4	#b2df8a	234	EOC103
4	7	#cab2d6	421	EOC103
5	2	#ff99ff	3899	EOC103
7	1	#fb9a99	4902	EOC103
8	2	#bbbb77	1066	EOC103
11	4	#ff7f00	329	EOC103
12	2	#3de4c5	1428	EOC103
1	-1	#cccccc	600	EOC105
2	12	#a6cee3	386	EOC105
3	1	#b2df8a	5368	EOC105
4	5	#cab2d6	736	EOC105
5	3	#ff99ff	1916	EOC105
7	3	#fb9a99	645	EOC105
8	12	#bbbb77	1344	EOC105
10	16	#41ae76	674	EOC105
12	1	#3de4c5	2099	EOC105
14	8	#9933ff	608	EOC105
16	2	#8c510a	380	EOC105
1	-1	#cccccc	994	EOC115
3	1	#b2df8a	104	EOC115
4	1	#cab2d6	50	EOC115
1	-1	#cccccc	2557	EOC124
2	3	#a6cee3	3728	EOC124
3	1	#b2df8a	529	EOC124
5	1	#ff99ff	6118	EOC124
1	-1	#cccccc	5522	EOC133
2	4	#a6cee3	434	EOC133
4	1	#cab2d6	1019	EOC133
6	1	#fdbf6f	469	EOC133
7	6	#fb9a99	878	EOC133
8	2	#bbbb77	313	EOC133
1	-1	#cccccc	5671	EOC135
2	9	#a6cee3	150	EOC135
4	1	#cab2d6	1623	EOC135
6	9	#fdbf6f	701	EOC135
7	4	#fb9a99	2245	EOC135
9	1	#cf8d30	620	EOC135
1	-1	#cccccc	3841	EOC136
3	4	#b2df8a	485	EOC136
4	7	#cab2d6	328	EOC136
5	8	#ff99ff	275	EOC136
7	1	#fb9a99	85	EOC136
8	4	#bbbb77	285	EOC136
10	7	#41ae76	122	EOC136
11	8	#ff7f00	219	EOC136
12	1	#3de4c5	560	EOC136
13	1	#ff1aff	57	EOC136
1	-1	#cccccc	5951	EOC148
3	4	#b2df8a	497	EOC148
4	1	#cab2d6	58	EOC148
5	4	#ff99ff	2494	EOC148
6	1	#fdbf6f	4560	EOC148
7	1	#fb9a99	218	EOC148
1	-1	#cccccc	763	EOC150
3	6	#b2df8a	1090	EOC150
4	3	#cab2d6	182	EOC150
6	1	#fdbf6f	490	EOC150
8	11	#bbbb77	145	EOC150
10	1	#41ae76	118	EOC150
11	6	#ff7f00	764	EOC150
1	-1	#cccccc	2490	EOC151
2	1	#a6cee3	79	EOC151
3	1	#b2df8a	185	EOC151
1	-1	#cccccc	1678	EOC153
2	4	#a6cee3	631	EOC153
3	11	#b2df8a	1869	EOC153
4	1	#cab2d6	7783	EOC153
5	9	#ff99ff	812	EOC153
6	9	#fdbf6f	191	EOC153
8	4	#bbbb77	263	EOC153
9	4	#cf8d30	2034	EOC153
11	1	#ff7f00	676	EOC153
12	3	#3de4c5	2748	EOC153
1	-1	#cccccc	1033	EOC160
2	1	#a6cee3	1946	EOC160
3	1	#b2df8a	815	EOC160
4	3	#cab2d6	84	EOC160
1	-1	#cccccc	1599	EOC165
2	1	#a6cee3	7136	EOC165
3	1	#b2df8a	1414	EOC165
4	1	#cab2d6	502	EOC165
5	4	#ff99ff	288	EOC165
1	-1	#cccccc	2899	EOC167
2	9	#a6cee3	476	EOC167
3	8	#b2df8a	616	EOC167
5	8	#ff99ff	964	EOC167
6	8	#fdbf6f	130	EOC167
8	1	#bbbb77	596	EOC167
9	1	#cf8d30	361	EOC167
10	9	#41ae76	159	EOC167
11	9	#ff7f00	565	EOC167
13	8	#ff1aff	225	EOC167
1	-1	#cccccc	5213	EOC172
2	5	#a6cee3	390	EOC172
3	1	#b2df8a	709	EOC172
4	15	#cab2d6	74	EOC172
5	1	#ff99ff	609	EOC172
11	4	#ff7f00	147	EOC172
13	15	#ff1aff	429	EOC172
15	5	#3690c0	209	EOC172
1	-1	#cccccc	7858	EOC175
2	4	#a6cee3	147	EOC175
3	1	#b2df8a	524	EOC175
4	1	#cab2d6	878	EOC175
5	1	#ff99ff	720	EOC175
1	-1	#cccccc	2478	EOC177
2	17	#a6cee3	1928	EOC177
5	7	#ff99ff	545	EOC177
6	11	#fdbf6f	2630	EOC177
7	12	#fb9a99	1024	EOC177
9	15	#cf8d30	1895	EOC177
10	11	#41ae76	743	EOC177
11	1	#ff7f00	2577	EOC177
12	1	#3de4c5	4298	EOC177
15	11	#3690c0	9440	EOC177
16	17	#8c510a	2343	EOC177
17	6	#666633	2258	EOC177
1	-1	#cccccc	9530	EOC182
2	1	#a6cee3	209	EOC182
3	4	#b2df8a	145	EOC182
4	1	#cab2d6	408	EOC182
1	-1	#cccccc	1181	EOC183
5	6	#ff99ff	145	EOC183
6	1	#fdbf6f	89	EOC183
7	1	#fb9a99	290	EOC183
8	1	#bbbb77	109	EOC183
1	-1	#cccccc	1973	EOC192
2	6	#a6cee3	54	EOC192
3	1	#b2df8a	291	EOC192
4	2	#cab2d6	144	EOC192
5	9	#ff99ff	246	EOC192
6	1	#fdbf6f	301	EOC192
8	11	#bbbb77	161	EOC192
9	1	#cf8d30	95	EOC192
10	1	#41ae76	571	EOC192
11	9	#ff7f00	165	EOC192
12	5	#3de4c5	133	EOC192
13	6	#ff1aff	79	EOC192
15	6	#3690c0	91	EOC192
1	-1	#cccccc	5309	EOC197
2	1	#a6cee3	60	EOC197
3	2	#b2df8a	44	EOC197
1	-1	#cccccc	4580	EOC198
2	4	#a6cee3	134	EOC198
4	1	#cab2d6	37	EOC198
5	4	#ff99ff	466	EOC198
6	1	#fdbf6f	755	EOC198
1	-1	#cccccc	7880	EOC202
2	1	#a6cee3	73	EOC202
3	1	#b2df8a	378	EOC202
6	2	#fdbf6f	2255	EOC202
7	6	#fb9a99	212	EOC202
8	3	#bbbb77	1371	EOC202
9	8	#cf8d30	726	EOC202
11	8	#ff7f00	309	EOC202
1	-1	#cccccc	4091	EOC206
3	1	#b2df8a	195	EOC206
